City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
489,Mattru,SL,75.25,overcast clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
493,Chachapoyas,PE,52.2,overcast clouds,-6.2317,-77.869,Teresita
494,Aden,YE,80.17,clear sky,12.7794,45.0367,Sama Emirate Hotel
495,Mildura,AU,64.99,overcast clouds,-34.2,142.15,Mercure Hotel Mildura
496,Sao Joao Da Barra,BR,69.85,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
497,Tevaitoa,PF,82.02,overcast clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
498,Barmer,IN,70.9,scattered clouds,25.75,71.3833,OYO 71911 Hotel Amber Palace
500,Hami,CN,53.64,clear sky,42.8,93.45,Laoyutang Resort
501,Caravelas,BR,75.04,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
503,Camacha,PT,62.6,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
504,Zhuhai,CN,79.0,scattered clouds,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
507,Tarauaca,BR,73.45,overcast clouds,-8.1614,-70.7656,Flat Temporada
511,Jalingo,NG,77.07,overcast clouds,8.8833,11.3667,Debright Motel
512,Sao Joao Del Rei,BR,56.23,clear sky,-21.1356,-44.2617,Solara Hotel
516,Kandrian,PG,82.76,overcast clouds,-6.2167,149.55,Kandrian Station
517,Jaciara,BR,72.34,broken clouds,-15.9653,-54.9683,Taba Hotel
519,Nizwa,OM,75.45,clear sky,22.9333,57.5333,Orient Apartments
520,Itinga,BR,68.05,broken clouds,-16.6131,-41.7653,Hotel Restaurante Itinga
521,Itarema,BR,78.58,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
522,Amahai,ID,84.74,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
523,Kwinana,AU,69.01,clear sky,-32.25,115.7667,Rockingham Apartments
